"","Gene.Name","eventID","AS_type","chromosome_name","band"
"1256","Dnah10","ENSMUSG00000038011.15;RI:chr5:124817989:124818136-124819131:124819410:+","RI","5","qF"
"1257","P2rx2","ENSMUSG00000029503.16;A3:chr5:110342671-110342780:110342635-110342780:-","A3","5","qF"
"1258","Emc10","ENSMUSG00000008140.17;SE:chr7:44490970-44491163:44491249-44491955:-","SE","7","qB3"
"1259","Slc44a2","ENSMUSG00000057193.8;AF:chr9:21320698:21320851-21338441:21337828:21337962-21338441:+","AF","9","qA3"
"1260","Zmynd15","ENSMUSG00000040829.14;A3:chr11:70460080-70460552:70460080-70460893:+","A3","11","qB3"
"1261","Bdh1","ENSMUSG00000046598.14;AF:chr16:31428752:31428987-31437992:31429299:31429591-31437992:+","AF","16","qB2"
"1262","Ssr2","ENSMUSG00000041355.13;RI:chr3:88576239:88576381-88576500:88576603:+","RI","3","qF1"
"1263","2310007B03Rik","ENSMUSG00000034159.12;AF:chr1:93160350-93160802:93160870:93160350-93160889:93160948:-","AF","1","qD"
"1264","Zfp426","ENSMUSG00000059475.13;AF:chr9:20486437-20490681:20490805:20486437-20492386:20492701:-","AF","9","qA3"
"1265","Snrk","ENSMUSG00000038145.17;SE:chr9:122132750-122133987:122134076-122136906:+","SE","9","qF4"
"1266","Chchd3","ENSMUSG00000053768.13;MX:chr6:32792926-32794215:32794308-32803890:32792926-32801997:32802066-32803890:-","MX","6","qA3.3"
"1267","Triobp","ENSMUSG00000033088.18;AF:chr15:78983077:78983208-78987892:78983705:78983782-78987892:+","AF","15","qE1"
"1268","Gtf3c2","ENSMUSG00000106864.3;AF:chr5:31174495-31179645:31179849:31174495-31179884:31180132:-","AF","5","qB1"
"1269","Atp2a3","ENSMUSG00000020788.15;SE:chr11:72989087-72989475:72989547-72991689:+","SE","11","qB4"
"1270","Itga2b","ENSMUSG00000034664.13;A5:chr11:102467901-102469438:102467901-102469525:-","A5","11","qD"
"1271","Bnc2","ENSMUSG00000028487.18;AL:chr4:84388683:84391124-84414246:84411179:84411590-84414246:-","AL","4","qC4"
"1272","Phf12","ENSMUSG00000037791.15;RI:chr11:78024813:78024867-78024961:78025086:+","RI","11","qB5"
"1273","Apbb1","ENSMUSG00000037032.16;SE:chr7:105567753-105573682:105574416-105581135:-","SE","7","qE3"
"1274","Crls1","ENSMUSG00000027357.16;SE:chr2:132850003-132861209:132861294-132862335:+","SE","2","qF2"
"1275","Pprc1","ENSMUSG00000055491.13;AF:chr19:46056581:46056743-46061403:46056832:46056859-46061403:+","AF","19","qC3"
"1276","Cep131","ENSMUSG00000039781.14;SE:chr11:120070610-120070792:120070902-120071359:-","SE","11","qE2"
"1277","Dhx32","ENSMUSG00000030986.13;SE:chr7:133749036-133759400:133759913-133776602:-","SE","7","qF3"
"1278","Hoxb3","ENSMUSG00000048763.11;AF:chr11:96323326:96323445-96341064:96328062:96328433-96341064:+","AF","11","qD"
"1279","Spata20","ENSMUSG00000020867.13;SE:chr11:94483713-94483949:94484150-94484268:-","SE","11","qD"
"1280","Uxt","ENSMUSG00000001134.9;AL:chrX:20941722:20941797-20959735:20959062:20959465-20959735:-","AL","X","qA1.3"
"1281","Il15ra","ENSMUSG00000023206.16;SE:chr2:11720105-11723413:11723610-11724096:+","SE","2","qA1"
"1282","Pole4","ENSMUSG00000030042.15;AF:chr6:82652167-82652624:82652870:82652167-82705183:82705365:-","AF","6","qC3"
"1283","Rbpj","ENSMUSG00000039191.12;AF:chr5:53555834:53555903-53627383:53619436:53619572-53627383:+","AF","5","qC1"
"1284","4430402I18Rik","ENSMUSG00000064202.15;SE:chr19:28948743-28954090:28954131-28959680:-","SE","19","qC1"
"1285","Get4","ENSMUSG00000025858.12;AF:chr5:139252324:139252619-139262481:139253497:139253601-139262481:+","AF","5","qG2"
"1286","Pdlim5","ENSMUSG00000028273.15;AF:chr3:142391850-142395515:142395578:142391850-142395586:142395607:-","AF","3","qH1"
"1287","Ahcyl2","ENSMUSG00000029772.17;A3:chr6:29859779-29863140:29859779-29863143:+","A3","6","qA3.3"
"1288","Naa15","ENSMUSG00000063273.11;AF:chr3:51415148:51416376-51436215:51416614:51416774-51436215:+","AF","3","qC"
"1289","Klhl18","ENSMUSG00000054792.15;MX:chr9:110439058-110446674:110446872-110455357:110439058-110450720:110450860-110455357:-","MX","9","qF2"
"1290","8430408G22Rik","ENSMUSG00000048489.12;A3:chr6:116650845-116651693:116650845-116651696:+","A3","6","qE3"
"1291","Nrg1","ENSMUSG00000062991.7;AF:chr8:31968185-32009010:32009153:31968185-32883516:32883862:-","AF","8","qA3"
"1292","Dzip1l","ENSMUSG00000037784.14;SE:chr9:99629669-99632637:99632748-99637347:+","SE","9","qE3.3"
"1293","Trpm3","ENSMUSG00000052387.15;A5:chr19:22926106-22978292:22926070-22978292:+","A5","19","qB"
"1294","Rusc2","ENSMUSG00000035969.15;AF:chr4:43383449:43383759-43414628:43384332:43384433-43414628:+","AF","4","qA5"
"1295","Chtop","ENSMUSG00000001017.15;AF:chr3:90507626-90508774:90509022:90507626-90509191:90509450:-","AF","3","qF1"
"1296","Eri2","ENSMUSG00000030929.17;SE:chr7:119791228-119792265:119792343-119792431:-","SE","7","qF2"
"1297","Pole4","ENSMUSG00000030042.15;AL:chr6:82621852:82622125-82651437:82647843:82648036-82651437:-","AL","6","qC3"
"1298","Cachd1","ENSMUSG00000028532.14;AL:chr4:100994836-101002862:101004544:100994836-101029026:101029220:+","AL","4","qC6"
"1299","Ncor2","ENSMUSG00000029478.16;MX:chr5:125119609-125124770:125124980-125178997:125119609-125153607:125153652-125178997:-","MX","5","qG1.1"
"1300","Rpp21","ENSMUSG00000024446.13;A5:chr17:36257524-36257606:36257524-36257783:-","A5","17","qB1"
"1301","Slx4ip","ENSMUSG00000027281.16;SE:chr2:136905600-136946305:136946504-136947042:+","SE","2","qF3"
"1302","Sh2b1","ENSMUSG00000030733.10;SE:chr7:126467773-126467950:126468049-126468420:-","SE","7","qF3"
"1303","Rgl3","ENSMUSG00000040146.9;SE:chr9:21987904-21988046:21988275-21988849:-","SE","9","qA3"
"1304","Rhbdl1","ENSMUSG00000025735.13;SE:chr17:25836193-25836399:25836572-25836988:-","SE","17","qA3.3"
"1305","Top3b","ENSMUSG00000022779.14;A5:chr16:16871055-16877832:16870829-16877832:+","A5","16","qA3"
"1306","Gas2","ENSMUSG00000030498.15;AF:chr7:51862015:51862444-51864282:51863904:51864093-51864282:+","AF","7","qB4"
"1307","Cbarp","ENSMUSG00000035640.18;AF:chr10:80137387-80137872:80137924:80137387-80140380:80140835:-","AF","10","qC1"
"1308","Tet1","ENSMUSG00000047146.15;A5:chr10:62813412-62813524:62813412-62813578:-","A5","10","qB4"
"1309","Pex12","ENSMUSG00000018733.10;A5:chr11:83298553-83298712:83298553-83298840:-","A5","11","qC"
"1310","Synpo","ENSMUSG00000043079.17;AF:chr18:60604490-60624171:60624336:60604490-60624489:60624573:-","AF","18","qD3-qE1"
"1311","Uhrf1","ENSMUSG00000001228.14;AF:chr17:56303400:56303561-56305086:56304407:56304483-56305086:+","AF","17","qD"
"1312","0610037L13Rik","ENSMUSG00000028608.15;MX:chr4:107890202-107891465:107891521-107892222:107890202-107891955:107892036-107892222:+","MX","4","qC7"
"1313","Ebp","ENSMUSG00000031168.14;AF:chrX:8190436-8192801:8192898:8190436-8193297:8193400:-","AF","X","qA1.1"
"1314","Thrap3","ENSMUSG00000043962.16;MX:chr4:126194404-126200946:126201007-126202570:126194404-126201522:126201628-126202570:-","MX","4","qD2.2"
"1315","Dclre1b","ENSMUSG00000027845.15;SE:chr3:103807576-103808072:103808098-103808900:-","SE","3","qF2.2"
"1316","Triobp","ENSMUSG00000033088.18;AF:chr15:78983056:78983208-78987892:78983705:78983782-78987892:+","AF","15","qE1"
"1317","Zic5","ENSMUSG00000041703.7;AF:chr14:122459775-122459900:122460021:122459775-122463892:122465677:-","AF","14","qE5"
"1318","Eps8l1","ENSMUSG00000006154.13;RI:chr7:4477890:4477998-4478619:4478751:+","RI","7","qA1"
"1319","4833439L19Rik","ENSMUSG00000025871.18;SE:chr13:54561871-54564185:54564272-54564515:-","SE","13","qB1"
"1320","Kansl3","ENSMUSG00000010453.12;A3:chr1:36365652-36367750:36365644-36367750:-","A3","1","qB"
"1321","Mroh1","ENSMUSG00000022558.15;A3:chr15:76452178-76452247:76452178-76452281:+","A3","15","qD3"
"1322","Dcaf11","ENSMUSG00000022214.14;AF:chr14:55560062:55560121-55561075:55560929:55560975-55561075:+","AF","14","qC3"
"1323","Heatr3","ENSMUSG00000031657.16;A5:chr8:88138157-88138275:88138023-88138275:+","A5","8","qC3"
"1324","Alox5ap","ENSMUSG00000060063.9;AF:chr5:149264767:149265182-149272381:149265347:149265389-149272381:+","AF","5","qG3"
"1325","Rabac1","ENSMUSG00000003380.11;A3:chr7:24970009-24970087:24969965-24970087:-","A3","7","qA3"
"1326","Toporsos","ENSMUSG00000028407.4;AF:chr4:40269579:40269719-40270038:40269784:40269889-40270038:+","AF","4","qA5"
"1327","B4galt3","ENSMUSG00000052423.14;MX:chr1:171270414-171270583:171270689-171271203:171270414-171270992:171271105-171271203:+","MX","1","qH3"
"1328","Gnat2","ENSMUSG00000009108.15;AF:chr3:108093192:108093366-108095141:108094448:108094503-108095141:+","AF","3","qF2.3"
"1329","Efna3","ENSMUSG00000028039.11;AF:chr3:89316752-89321561:89321631:89316752-89322706:89322887:-","AF","3","qF1"
"1330","2510002D24Rik","ENSMUSG00000071632.10;SE:chr16:18836619-18836706:18836873-18839090:+","SE","16","qA3"
"1331","Rnpepl1","ENSMUSG00000026269.14;A3:chr1:92918126-92918873:92918126-92918906:+","A3","1","qD"
"1332","Cdhr5","ENSMUSG00000025497.15;SE:chr7:141270017-141271517:141272002-141272101:-","SE","7","qF4"
"1333","Smad3","ENSMUSG00000032402.12;AF:chr9:63667922-63711916:63711969:63667922-63751050:63751077:-","AF","9","qC"
"1334","Sptbn4","ENSMUSG00000011751.16;AF:chr7:27394304-27396118:27396198:27394304-27396489:27396553:-","AF","7","qA3"
"1335","Dmpk","ENSMUSG00000030409.15;AF:chr7:19083849:19084154-19085986:19084710:19084909-19085986:+","AF","7","qA3"
"1336","Chek1","ENSMUSG00000032113.16;AF:chr9:36725878-36726383:36726451:36725878-36726563:36726585:-","AF","9","qA4"
"1337","Mrps18b","ENSMUSG00000024436.16;AF:chr17:35914804-35915901:35916203:35914804-35916292:35916377:-","AF","17","qB1"
"1338","Sh3d19","ENSMUSG00000028082.13;AF:chr3:85971109:85971424-86040826:86038877:86039000-86040826:+","AF","3","qF1"
"1339","Btg4","ENSMUSG00000032056.10;AF:chr9:51060901:51060954-51113329:51105878:51105973-51113329:+","AF","9","qA5.3"
"1340","Zkscan17","ENSMUSG00000020472.14;A5:chr11:59503100-59503384:59503100-59503677:-","A5","11","qB1.3"
"1341","Psat1","ENSMUSG00000024640.9;AF:chr19:15920996-15924304:15924622:15920996-15947285:15947337:-","AF","19","qA"
"1342","Pik3r1","ENSMUSG00000041417.15;A5:chr13:101690583-101692183:101690583-101692447:-","A5","13","qD1"
"1343","Npdc1","ENSMUSG00000015094.16;AF:chr2:25403239:25403365-25406215:25403448:25403641-25406215:+","AF","2","qA3"
"1344","Dnmt3b","ENSMUSG00000027478.15;SE:chr2:153649740-153650785:153650899-153661425:+","SE","2","qH1"
"1345","Daxx","ENSMUSG00000002307.15;A3:chr17:33913726-33913806:33913726-33913954:+","A3","17","qB1"
"1346","Uckl1","ENSMUSG00000089917.7;AF:chr2:181575037-181581856:181581972:181575037-181584826:181584892:-","AF","2","qH4"
"1347","Itga10","ENSMUSG00000090210.7;A3:chr3:96656293-96656441:96656293-96656444:+","A3","3","qF2.1"
"1348","Dok4","ENSMUSG00000040631.8;AF:chr8:94871068-94871626:94871716:94871068-94875892:94876096:-","AF","8","qC5"
"1349","Flot1","ENSMUSG00000059714.13;AF:chr17:35823230:35823501-35823807:35823549:35823595-35823807:+","AF","17","qB1"
"1350","Pgap2","ENSMUSG00000030990.18;A5:chr7:102235872-102236094:102235759-102236094:+","A5","7","qE2"
"1351","Get4","ENSMUSG00000025858.12;A3:chr5:139262559-139262870:139262559-139262873:+","A3","5","qG2"
"1352","Gas2","ENSMUSG00000030498.15;AL:chr7:51953301-51956377:51956434:51953301-51993291:51994975:+","AL","7","qB4"
"1353","Psme2","ENSMUSG00000079197.10;AF:chr14:55590527-55590842:55590895:55590527-55591022:55591101:-","AF","14","qC3"
"1354","Cib3","ENSMUSG00000074240.4;RI:chr8:72205563:72205758-72207127:72207274:-","RI","8","qB3.3"
"1355","Rpn2","ENSMUSG00000027642.15;AF:chr2:157279569:157279773-157283584:157281943:157282161-157283584:+","AF","2","qH1"
"1356","Disp1","ENSMUSG00000030768.12;MX:chr1:183135876-183173496:183173623-183221323:183135876-183202952:183203039-183221323:-","MX","1","qH5"
"1357","Hsd3b7","ENSMUSG00000042289.11;AF:chr7:127800636:127800714-127801127:127800941:127801050-127801127:+","AF","7","qF3"
"1358","Sh2b1","ENSMUSG00000030733.10;A5:chr7:126473094-126474619:126473094-126474996:-","A5","7","qF3"
"1359","Marc2","ENSMUSG00000073481.9;A5:chr1:184822550-184827108:184822550-184827188:-","A5","1","qH5"
"1360","Mid2","ENSMUSG00000000266.11;AF:chrX:140664599:140664642-140677996:140665072:140665278-140677996:+","AF","X","qF1"
"1361","Morf4l2","ENSMUSG00000031422.16;AL:chrX:136732953:136734501-136739805:136735598:136735622-136739805:-","AL","X","qF1"
"1362","4932414N04Rik","ENSMUSG00000079324.11;A3:chr2:68664401-68666135:68664401-68666138:+","A3","2","qC1.3-qC2"
"1363","Psme2","ENSMUSG00000079197.10;AF:chr14:55590527-55590842:55590864:55590527-55591022:55591101:-","AF","14","qC3"
"1364","Tle3","ENSMUSG00000032280.16;AF:chr9:61373219:61373461-61373953:61373482:61373506-61373953:+","AF","9","qB"
"1365","Men1","ENSMUSG00000024947.16;A5:chr19:6336933-6337153:6336828-6337153:+","A5","19","qA"
"1366","Serf1","ENSMUSG00000021643.14;AF:chr13:100108085:100108229-100109023:100108396:100108484-100109023:+","AF","13","qD1"
"1367","Serf1","ENSMUSG00000021643.14;AL:chr13:100109131-100110748:100111009:100109131-100113965:100114231:+","AL","13","qD1"
"1368","Dhx35","ENSMUSG00000027655.14;AF:chr2:158794891:158794928-158801375:158795923:158796116-158801375:+","AF","2","qH1"
"1369","Ntmt1","ENSMUSG00000026857.9;AF:chr2:30808190:30808365-30819629:30817969:30818129-30819629:+","AF","2","qB"
"1370","Hltf","ENSMUSG00000002428.12;AF:chr3:20057853:20058007-20058899:20058291:20058524-20058899:+","AF","3","qA2"
"1371","Nectin4","ENSMUSG00000006411.12;SE:chr1:171385738-171386160:171386234-171386581:+","SE","1","qH3"
"1372","Traf7","ENSMUSG00000052752.15;AF:chr17:24519246-24527455:24527489:24519246-24527766:24527911:-","AF","17","qA3.3"
"1373","Mpnd","ENSMUSG00000003199.16;A3:chr17:56012492-56014941:56012492-56015028:+","A3","17","qD"
"1374","Rad51c","ENSMUSG00000007646.13;AF:chr11:87402856-87404304:87404506:87402856-87404595:87404954:-","AF","11","qC"
"1375","Elovl1","ENSMUSG00000006390.15;AF:chr4:118428093:118428215-118430496:118429701:118429830-118430496:+","AF","4","qD2.1"
"1376","Gstm4","ENSMUSG00000027890.17;A5:chr3:108044428-108044637:108044428-108044845:-","A5","3","qF2.3"
"1377","Baiap3","ENSMUSG00000047507.12;RI:chr17:25247310:25247400-25247484:25247608:-","RI","17","qA3.3"
"1378","Rdh12","ENSMUSG00000021123.12;A3:chr12:79211543-79212653:79211543-79212689:+","A3","12","qC3"
"1379","Lpar1","ENSMUSG00000038668.14;AF:chr4:58504781-58553134:58553357:58504781-58553730:58553898:-","AF","4","qB3"
"1380","Fbxo22","ENSMUSG00000032309.15;AF:chr9:55209190:55209491-55213909:55213663:55213781-55213909:+","AF","9","qB"
"1381","Kdf1","ENSMUSG00000037600.16;A3:chr4:133519052-133527740:133519052-133527942:+","A3","4","qD2.3"
"1382","Tle3","ENSMUSG00000032280.16;A5:chr9:61394712-61401856:61394682-61401856:+","A5","9","qB"
"1383","Lrch4","ENSMUSG00000093445.7;SE:chr5:137638542-137638655:137638738-137639122:+","SE","5","qG2"
"1384","Pbrm1","ENSMUSG00000042323.16;SE:chr14:31110579-31113849:31114004-31117013:+","SE","14","qB"
"1385","Higd1a","ENSMUSG00000038412.8;A3:chr9:121852609-121856450:121852605-121856450:-","A3","9","qF4"
"1386","Letm2","ENSMUSG00000037363.9;SE:chr8:25594166-25596362:25596445-25596964:-","SE","8","qA2"
"1387","Ahcyl2","ENSMUSG00000029772.17;AF:chr6:29768480:29768906-29863143:29799551:29799584-29863143:+","AF","6","qA3.3"
"1388","Lrrc61","ENSMUSG00000073096.11;A5:chr6:48554961-48568137:48554893-48568137:+","A5","6","qB2.3"
"1389","Ptpn18","ENSMUSG00000026126.15;A5:chr1:34459916-34462702:34459844-34462702:+","A5","1","qB"
"1390","Mef2c","ENSMUSG00000005583.16;A3:chr13:83656352-83662403:83656352-83662405:+","A3","13","qC3"
"1391","Spcs2","ENSMUSG00000035227.7;AF:chr7:99849059-99858764:99858876:99849059-99863228:99863371:-","AF","7","qE1"
"1392","Ric3","ENSMUSG00000048330.14;A3:chr7:109048096-109054365:109048093-109054365:-","A3","7","qE3"
"1393","Irf3","ENSMUSG00000003184.15;SE:chr7:45000546-45000645:45001022-45001673:+","SE","7","qB3"
"1394","Anp32a","ENSMUSG00000032249.14;AF:chr9:62342075:62342251-62371720:62366944:62367001-62371720:+","AF","9","qB"
"1395","Kcnq1","ENSMUSG00000009545.14;AF:chr7:143107254:143107741-143149498:143109194:143109435-143149498:+","AF","7","qF5"
"1396","Adamts10","ENSMUSG00000024299.16;A5:chr17:33538712-33543198:33538701-33543198:+","A5","17","qB1"
"1397","Amica1","ENSMUSG00000048534.7;AF:chr9:45083946:45084106-45086841:45086489:45086516-45086841:+","AF","9","qA5.2"
"1398","Ccdc9","ENSMUSG00000041375.18;AF:chr7:16284546-16285927:16286025:16284546-16286700:16286790:-","AF","7","qA2"
"1399","Rbm18","ENSMUSG00000026889.12;SE:chr2:36122938-36127181:36127251-36134135:-","SE","2","qB"
"1400","Lrrc41","ENSMUSG00000028703.14;A3:chr4:116080619-116082877:116080619-116082881:+","A3","4","qD1"
"1401","Gsk3b","ENSMUSG00000022812.13;AF:chr16:38089001:38090613-38144260:38143331:38143419-38144260:+","AF","16","qB3"
"1402","Stk19","ENSMUSG00000061207.11;SE:chr17:34824324-34824514:34824661-34824751:-","SE","17","qB1"
"1403","Nr2f1","ENSMUSG00000069171.13;AF:chr13:78195689-78196342:78196373:78195689-78198120:78199757:-","AF","13","qC1"
"1404","Atf7ip","ENSMUSG00000030213.12;SE:chr6:136518963-136559764:136561439-136563760:+","SE","6","qG1"
"1405","Ccdc9","ENSMUSG00000041375.18;AF:chr7:16284546-16285927:16286025:16284546-16286700:16286780:-","AF","7","qA2"
"1406","Dnm2","ENSMUSG00000033335.17;AL:chr9:21505715-21506336:21507138:21505715-21507423:21507754:+","AL","9","qA3"
"1407","Upp1","ENSMUSG00000020407.13;AF:chr11:9118103:9118284-9119374:9118787:9118867-9119374:+","AF","11","qA1"
"1408","Dhcr7","ENSMUSG00000058454.15;MX:chr7:143830265-143832850:143832920-143836638:143830265-143833768:143833936-143836638:+","MX","7","qF5"
"1409","Plagl1","ENSMUSG00000019817.18;A3:chr10:13112550-13116696:13112550-13116710:+","A3","10","qA2"
"1410","Mtfr1","ENSMUSG00000027601.13;AF:chr3:19187347:19187386-19200026:19188265:19188288-19200026:+","AF","3","qA2"
"1411","Polg","ENSMUSG00000039176.17;RI:chr7:79449382:79449534-79449949:79450037:-","RI","7","qD2"
"1412","P2ry2","ENSMUSG00000032860.5;A5:chr7:101003754-101011712:101003754-101011930:-","A5","7","qE2"
"1413","Slc44a2","ENSMUSG00000057193.8;A5:chr9:21353172-21353682:21353128-21353682:+","A5","9","qA3"
"1414","4930427A07Rik","ENSMUSG00000037466.13;SE:chr12:113156753-113157161:113157363-113157578:+","SE","12","qF1"
"1415","Fam83h","ENSMUSG00000046761.12;AF:chr15:76006562-76009374:76009498:76006562-76014244:76014336:-","AF","15","qD3"
"1416","Fam132a","ENSMUSG00000023571.4;SE:chr4:155965131-155965594:155965702-155965866:+","SE","4","qE2"
"1417","Prkacb","ENSMUSG00000005034.15;AF:chr3:146757768-146781147:146781416:146757768-146812638:146812960:-","AF","3","qH2"
"1418","Rnh1","ENSMUSG00000038650.15;AF:chr7:141166787-141168126:141168191:141166787-141168676:141169226:-","AF","7","qF4"
"1419","Kdf1","ENSMUSG00000037600.16;A5:chr4:133519111-133527740:133519052-133527740:+","A5","4","qD2.3"
"1420","Cd2bp2","ENSMUSG00000042502.10;A3:chr7:127195467-127195915:127195461-127195915:-","A3","7","qF3"
"1421","Tcea2","ENSMUSG00000059540.15;RI:chr2:181685792:181685922-181686190:181686752:+","RI","2","qH4"
"1422","Man2c1","ENSMUSG00000032295.15;A3:chr9:57139401-57139611:57139401-57139688:+","A3","9","qB"
"1423","Nt5c3b","ENSMUSG00000017176.17;AL:chr11:100422321:100422945-100431077:100429359:100429949-100431077:-","AL","11","qD"
"1424","Mark2","ENSMUSG00000024969.15;A5:chr19:7290782-7341168:7290782-7341767:-","A5","19","qA"
"1425","Arpc3","ENSMUSG00000029465.14;AF:chr5:122396867:122396916-122401647:122400271:122400462-122401647:+","AF","5","qF"
"1426","Col4a3","ENSMUSG00000079465.8;SE:chr1:82715454-82716012:82716189-82716298:+","SE","1","qC5"
"1427","Rars2","ENSMUSG00000028292.14;AL:chr4:34623513-34625401:34625443:34623513-34630473:34630570:+","AL","4","qA5"
"1428","Tgfb1","ENSMUSG00000002603.15;AF:chr7:25687002:25688223-25692377:25688927:25689180-25692377:+","AF","7","qA3"
"1429","Nxf2","ENSMUSG00000009941.10;AF:chrX:134962018-134963829:134963896:134962018-134964628:134964754:-","AF","X","qE3"
"1430","Mrpl20","ENSMUSG00000029066.12;AF:chr4:155803647:155803742-155806908:155803759:155803943-155806908:+","AF","4","qE2"
"1431","Map1lc3b","ENSMUSG00000031812.16;AF:chr8:121590361:121590564-121593490:121590712:121590923-121593490:+","AF","8","qE1"
"1432","Spg7","ENSMUSG00000000738.18;AF:chr8:123062988:123063034-123066473:123065476:123065709-123066473:+","AF","8","qE2"
"1433","0610010K14Rik","ENSMUSG00000020831.18;AF:chr11:70237625-70237712:70237763:70237625-70237784:70237861:-","AF","11","qB3"
"1434","0610010K14Rik","ENSMUSG00000020831.18;AL:chr11:70235379:70235468-70236024:70235736:70235800-70236024:-","AL","11","qB3"
"1435","Zfp229","ENSMUSG00000061544.13;AF:chr17:21733724:21733958-21736058:21735912:21735935-21736058:+","AF","17","qA3.3"
"1436","Ninj1","ENSMUSG00000037966.15;AF:chr13:49187485:49187637-49193736:49190296:49190359-49193736:+","AF","13","qA5"
"1437","Zfp524","ENSMUSG00000051184.7;AF:chr7:5015470:5015560-5017437:5015807:5015888-5017437:+","AF","7","qA1"
"1438","Fam175a","ENSMUSG00000035234.18;MX:chr5:100815228-100817962:100817998-100820831:100815228-100818517:100818607-100820831:-","MX","5","qE4"
"1439","Ccdc114","ENSMUSG00000040189.17;A5:chr7:45924386-45924498:45924266-45924498:+","A5","7","qB3"
"1440","Usp54","ENSMUSG00000034235.16;AF:chr14:20604144-20605058:20605330:20604144-20607082:20607228:-","AF","14","qA3"
"1441","1700067K01Rik","ENSMUSG00000046408.13;A3:chr8:84001905-84002858:84001905-84002861:+","A3","8","qC2"
"1442","Porcn","ENSMUSG00000031169.13;SE:chrX:8203835-8204196:8204388-8205565:-","SE","X","qA1.1"
"1443","Eps15l1","ENSMUSG00000006276.10;SE:chr8:72346171-72358313:72358445-72367904:-","SE","8","qB3.3"
"1444","Npas1","ENSMUSG00000001988.9;A5:chr7:16461436-16461781:16461436-16461791:-","A5","7","qA2"
"1445","6430548M08Rik","ENSMUSG00000031824.15;SE:chr8:120156374-120157468:120157497-120159959:+","SE","8","qE1"
"1446","Fhl1","ENSMUSG00000023092.16;A5:chrX:56732168-56754335:56731868-56754335:+","A5","X","qA5"
"1447","Arhgap20","ENSMUSG00000053199.13;A3:chr9:51843775-51846125:51843775-51846241:+","A3","9","qA5.3"
"1448","Eapp","ENSMUSG00000054302.15;AL:chr12:54685927:54685971-54692000:54690111:54690356-54692000:-","AL","12","qC1"
"1449","Aimp2","ENSMUSG00000029610.13;A5:chr5:143906755-143909581:143906755-143909701:-","A5","5","qG2"
"1450","Smarcc2","ENSMUSG00000025369.14;A5:chr10:128488359-128488896:128488017-128488896:+","A5","10","qD3"
"1451","Irf9","ENSMUSG00000002325.14;AF:chr14:55603985:55604243-55605052:55604579:55604721-55605052:+","AF","14","qC3"
"1452","Sin3a","ENSMUSG00000042557.14;AF:chr9:57076399:57076630-57086581:57081158:57081202-57086581:+","AF","9","qB"
"1453","Ralgds","ENSMUSG00000026821.15;A3:chr2:28549156-28549290:28549156-28549464:+","A3","2","qA3"
"1454","BC107364","ENSMUSG00000046317.14;SE:chr3:96434442-96434737:96434830-96440709:-","SE","3","qF2.1"
"1455","Tmem136","ENSMUSG00000048503.7;A3:chr9:43113660-43116477:43113635-43116477:-","A3","9","qA5.1"
"1456","Pclo","ENSMUSG00000061601.15;RI:chr5:14674955:14680013-14680370:14682387:+","RI","5","qA1-qA2"
"1457","Stat1","ENSMUSG00000026104.14;A5:chr1:52119623-52119912:52119604-52119912:+","A5","1","qC1.1"
"1458","Tmem25","ENSMUSG00000002032.17;SE:chr9:44795712-44795996:44796127-44796324:-","SE","9","qA5.2"
"1459","Olfr704","ENSMUSG00000073900.4;AL:chr7:106863717-106864963:106866199:106863717-106867485:106870921:+","AL","7","qE3"
"1460","Psme1","ENSMUSG00000022216.16;A3:chr14:55579627-55579771:55579627-55579804:+","A3","14","qC3"
"1461","Hp1bp3","ENSMUSG00000028759.13;AF:chr4:138216626:138216740-138221526:138217294:138217380-138221526:+","AF","4","qD3"
"1462","Usp37","ENSMUSG00000033364.13;AF:chr1:74500100-74505660:74505791:74500100-74506150:74506283:-","AF","1","qC3"
"1463","Dmrta1","ENSMUSG00000043753.2;AF:chr4:89679436:89679550-89691436:89688198:89688939-89691436:+","AF","4","qC4"
"1464","Cox7a2","ENSMUSG00000032330.7;AF:chr9:79758579-79759150:79759251:79758579-79759640:79759710:-","AF","9","qE1"
"1465","Ndufv1","ENSMUSG00000037916.13;A5:chr19:4011428-4012551:4011428-4012578:-","A5","19","qA"
"1466","Cpeb3","ENSMUSG00000039652.16;A5:chr19:37174985-37207233:37174985-37207295:-","A5","19","qC2"
"1467","Ing1","ENSMUSG00000045969.8;AF:chr8:11556111:11556200-11561418:11558429:11558566-11561418:+","AF","8","qA1.1"
"1468","Keap1","ENSMUSG00000003308.15;AF:chr9:21237756-21238793:21239071:21237756-21239076:21239332:-","AF","9","qA3"
"1469","Tle3","ENSMUSG00000032280.16;AF:chr9:61373385:61373461-61373953:61373482:61373506-61373953:+","AF","9","qB"
"1470","Ccdc97","ENSMUSG00000002608.8;AL:chr7:25715904:25716187-25718145:25716906:25716999-25718145:-","AL","7","qA3"
"1471","Dmpk","ENSMUSG00000030409.15;AF:chr7:19083870:19084154-19085986:19084710:19084909-19085986:+","AF","7","qA3"
"1472","Adamts7","ENSMUSG00000032363.15;RI:chr9:90193025:90193865-90194043:90194269:+","RI","9","qE3.1"
"1473","Elk4","ENSMUSG00000026436.15;AF:chr1:132007876:132007940-132013026:132008109:132008187-132013026:+","AF","1","qE4"
